pair_id,finding_a,loc_a,finding_b,loc_b,label,notes
paper-0001-d2~neg~paper-0001-d4,"The text says our results 'corroborate' Chen et al. (2024), but Chen reported retrieval *reduced* accuracy while RAG-Sum shows retrieval *improves* it - so the results contradict, not corroborate, that finding.",Results:17-19,"Hyperparameters were tuned on the test set, a train/test leak that invalidates the reported test results.",Dataset and Training:12-13,different,
spec-0014-d1~pos~0-2,"frontend.depends_on names service `api`, but no such service is defined (the application service is named `backend`).",services.frontend.depends_on:16,"depends_on should reference `backend`, not `api`.",services.frontend.depends_on:16,same,
code-0017-d1~pos~1-3,"`== 0` should be `== 1`; the function must count 1-bits, not 0-bits.",src/popcount.py:18,count_set_bits(25) would not be 3 because it tallies zero bits.,src/popcount.py:18,same,
spec-0004-d1~neg~spec-0004-d3,"proxy.networks references `frontend`, which is not declared under the top-level `networks` key (only `backnet` and `frontnet` exist).",services.proxy.networks:49,"backend publishes host port 80 (`80:8000`), colliding with proxy's host port 80 (`80:80`); two services cannot bind the same host port.",services.backend.ports:34,different,
spec-0003-d1~neg~spec-0003-d3,"backend.secrets references `db-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:7,"proxy.depends_on names service `api`, which is not defined (the application service is named `backend`).",services.proxy.depends_on:39,different,
paper-0001-d3~neg~paper-0001-d4,The Discussion claims RAG-Sum 'will generalize to any clinical documentation task' from a single 200-note test set - an unsupported over-generalization.,Discussion:22-23,"Hyperparameters were tuned on the test set, a train/test leak that invalidates the reported test results.",Dataset and Training:12-13,different,
spec-0017-d1~neg~spec-0017-d2,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7,"web.depends_on names service `api`, but no such service is defined (the application service is named `backend`).",services.web.depends_on:12,different,
paper-0002-d3~pos~0-1,"The deficit is said to fall from 6.3 percent to 5.9 percent of GDP, 'a decline of 0.7 percentage points', but 6.3 - 5.9 = 0.4 percentage points.",Relative to the economy:19-20,"6.3 minus 5.9 is 0.4, not the stated 0.7 percentage points.",Relative to the economy:19-20,same,
code-0014-d2~pos~0-1,"New digits are appended (`hexadecimal + values[remainder]`) instead of prepended (`values[remainder] + hexadecimal`), so the hex digits come out in reverse order.",src/dec2hex.py:27,The concatenation order is reversed; it should be `values[remainder] + hexadecimal`.,src/dec2hex.py:27,same,
paper-0023-d2~neg~paper-0023-d3,"The global figure two hundred years ago is said to be 'less than half of today's' (today's is just over 70), yet it is then given as 'around 45 years', which is well over half of 70.",A long climb:5-6,"With Japan close to 85 and Nigeria thirty years lower, Nigeria should be around 55, but the text puts Nigeria at 'around 65 years'.",Still deeply unequal:10-11,different,
code-0009-d3~pos~1-3,`number < -1` should be `number < 0`; -1 slips past the guard.,src/factorial.py:12,factorial(-1) returns a value instead of raising.,src/factorial.py:12,same,
code-0001-d2~neg~code-0001-d4,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23,"`from_config` passes constructor arguments in the wrong order, swapping `max_events` and `window_seconds`.",src/window.py:27,different,
paper-0005-d1~pos~0-1,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,"83 minus 58 is 25, not the stated 35-year increase.",Not only about infants:11-12,same,
spec-0007-d1~pos~0-3,"DB_HOST points at `postgres:5432`, but the database service is named `db` (its image is postgres, but there is no service or host `postgres`).",services.gitea.environment:6,Dangling host reference: no service named `postgres` exists.,services.gitea.environment:6,same,
paper-0019-d2~pos~2-3,"More than a third of 350 million would be over 115 million, not 40 million.",What and where:9-10,The poultry tonnage and its stated share disagree.,What and where:9-10,same,
code-0006-d1~neg~code-0006-d3,"The divmod arguments are swapped: `divmod(arabic, number)` divides the table value by the running number, but it must divide the number by the value (`divmod(number, arabic)`).",src/to_roman.py:32,"The loop breaks when the remaining number is non-zero (`if number != 0`), so it stops after the first iteration; it should break once the number has been fully converted (`if number == 0`).",src/to_roman.py:34,different,
code-0005-d3~pos~0-1,"After consuming a two-character subtractive pair the index advances by 3 (`place += 3`) instead of 2, skipping the character that follows the pair.",src/roman.py:22,"`place += 3` should be `place += 2`; a subtractive pair is two characters, so the next character gets skipped.",src/roman.py:22,same,
code-0015-d2~pos~0-3,"The outer loop `range(1, len(collection) - 1)` stops before the last element, so the final element is never inserted and the list is left partially unsorted.",src/insort.py:12,Off-by-one in the outer range drops the last insertion.,src/insort.py:12,same,
spec-0003-d1~pos~1-3,The backend mounts a secret `db-secret` that is never declared in the top-level secrets section.,services.backend.secrets:7,Dangling secret reference in the backend service.,services.backend.secrets:7,same,
spec-0017-d2~pos~0-3,"web.depends_on names service `api`, but no such service is defined (the application service is named `backend`).",services.web.depends_on:12,Dangling service dependency: `api` is undefined.,services.web.depends_on:12,same,
code-0016-d1~pos~0-1,"The inner comparison `collection[k] > collection[min_index]` selects the maximum of the remaining elements instead of the minimum, producing a descending sort; it should be `<`.",src/selsort.py:16,"`>` should be `<`; selection sort must find the minimum, not the maximum.",src/selsort.py:16,same,
paper-0016-d1~neg~paper-0016-d3,"If more than a third of US adults were obese, then a bit under two-thirds were not, but the text says 'fewer than one-quarter were not' obese.",A growing share:4-5,"The global overweight/obese share is given as 'two-fifths — about 20%', but two-fifths is 40%, not 20%.",A global problem:9,different,
spec-0010-d1~neg~spec-0010-d2,"The SECRET_USERNAME env var's secretKeyRef names Secret `app-secret`, but the Secret defined in this manifest is named `test-secret`.",Pod...SECRET_USERNAME.secretKeyRef:21,"The SECRET_USERNAME env var requests key `user`, but the Secret defines keys `username` and `password` — there is no `user` key.",Pod...SECRET_USERNAME.secretKeyRef:22,different,
spec-0013-d2~pos~2-3,Nextcloud and the database are configured with different passwords.,services.nc.environment:6,POSTGRES_PASSWORD is inconsistent between the app and the db service.,services.nc.environment:6,same,
paper-0023-d1~neg~paper-0023-d2,"The rise from 32 years in 1900 to 71 in 2021 is called 'more than tripled', but 71 is about 2.2 times 32 — a bit more than a doubling, not a tripling.",A long climb:4-5,"The global figure two hundred years ago is said to be 'less than half of today's' (today's is just over 70), yet it is then given as 'around 45 years', which is well over half of 70.",A long climb:5-6,different,
code-0011-d1~neg~code-0011-d3,"The loop `for _ in range(n)` runs one iteration too many (the list already starts with two elements), producing more Fibonacci numbers than requested.",src/fib.py:19,"For n == 0 the function returns `[]`, but the first 0-indexed Fibonacci number is 0, so it should return `[0]`.",src/fib.py:17,different,
paper-0011-d1~neg~paper-0011-d3,"The share using safe sanitation is given as 'just over half — around 74%', but just over half is about 50%, not 74%.",The global picture:4,"The poorest-country coverage is given as 'one in five — roughly 40%', but one in five is 20%, not 40%.",The poorest countries:9,different,
spec-0013-d2~neg~spec-0013-d3,"The nc app's POSTGRES_PASSWORD is `secret`, but the db service's POSTGRES_PASSWORD is `nextcloud`, so authentication will fail.",services.nc.environment:6,"The nc app's POSTGRES_DB is `cloud`, but the db service creates database `nextcloud`, so the app targets a database that does not exist.",services.nc.environment:7,different,
paper-0002-d1~neg~paper-0002-d3,"The deficit is said to have decreased by '$41 billion (or 6 percent)', but $41 billion is about 2 percent of the ~$1.8 trillion deficit, not 6 percent.",Overview:5,"The deficit is said to fall from 6.3 percent to 5.9 percent of GDP, 'a decline of 0.7 percentage points', but 6.3 - 5.9 = 0.4 percentage points.",Relative to the economy:19-20,different,
code-0013-d2~pos~0-1,"The base is doubled (`base += base`) instead of squared (`base *= base`), so the repeated-squaring step is wrong.",src/binexp.py:20,`base += base` should be `base *= base`; each step must square the base.,src/binexp.py:20,same,
paper-0023-d3~pos~0-1,"With Japan close to 85 and Nigeria thirty years lower, Nigeria should be around 55, but the text puts Nigeria at 'around 65 years'.",Still deeply unequal:10-11,"85 minus 30 is 55, not 65.",Still deeply unequal:10-11,same,
paper-0014-d1~neg~paper-0014-d3,"The renewable share of primary energy is given as 'one-seventh — roughly 34%', but one-seventh is about 14%, not 34%.",A small but growing share:4,"The renewable share of electricity is given as 'almost one-third, about 60%', but one-third is about 33%, not 60%.",A small but growing share:6-7,different,
spec-0001-d2~pos~0-1,"autoscale.target_cpu_percent is 130, outside the allowed range [1, 100].",autoscale.target_cpu_percent:16,A CPU target of 130% is out of the valid 1-100 percent range.,autoscale.target_cpu_percent:16,same,
spec-0012-d2~pos~0-1,"The container's volumeMount references volume `pv-storage`, but the Pod defines the volume as `task-pv-storage`.",Pod.spec.containers.volumeMounts:32,The volumeMount name `pv-storage` does not match the Pod volume `task-pv-storage`.,Pod.spec.containers.volumeMounts:32,same,
paper-0013-d1~neg~paper-0013-d2,"The rise from about 1 billion (1800) to more than 8 billion (today) is called 'a fourfold increase', but 8 divided by 1 is an eightfold increase.",From one billion to eight:4-5,"Growth is said to have 'more than doubled, falling to less than 1%' after peaking at over 2%, but a peak followed by a fall to under 1% is a decrease, not a doubling.",Slowing growth:8-9,different,
code-0005-d1~pos~1-2,"`total -= vals[roman[place]]` should add, not subtract; the else branch must accumulate with `+=`.",src/roman.py:24,A single numeral like 'III' would evaluate to -3 because the value is subtracted rather than added.,src/roman.py:24,same,
spec-0003-d1~neg~spec-0003-d2,"backend.secrets references `db-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:7,"backend.depends_on names service `database`, but no such service is defined (the Postgres service is named `db`).",services.backend.depends_on:9,different,
spec-0009-d1~neg~spec-0009-d3,"The Pod's configMapKeyRef names ConfigMap `app-config`, but the ConfigMap defined in this manifest is named `special-config`; no `app-config` exists.",Pod.spec.containers.env.configMapKeyRef:24,"The Pod is in namespace `production`, but the ConfigMap it references is in namespace `default`; ConfigMaps are namespace-scoped, so the reference cannot resolve across namespaces.",Pod.metadata.namespace:14,different,
paper-0023-d1~pos~1-2,"32 to 71 is roughly a doubling, not a tripling.",A long climb:4-5,"Tripling 32 would give about 96 years, not 71.",A long climb:4-5,same,
code-0014-d3~pos~1-2,`decimal *= 1` should be `decimal *= -1`; the sign is never flipped.,src/dec2hex.py:24,"Negative inputs stay negative, so the loop emits nothing and the digits are lost.",src/dec2hex.py:24,same,
code-0015-d2~pos~2-3,"The loop stops one short, leaving the final item unsorted.",src/insort.py:12,Off-by-one in the outer range drops the last insertion.,src/insort.py:12,same,
spec-0018-d2~pos~0-2,"The StatefulSet selector matchLabels is `app: web`, but its pod template labels are `app: nginx`; a StatefulSet's selector must match its template labels.",StatefulSet.spec.selector.matchLabels:24,The StatefulSet selects `app: web` but labels its pods `app: nginx`.,StatefulSet.spec.selector.matchLabels:24,same,
paper-0012-d1~neg~paper-0012-d3,"The text says the number of people in cities 'overtook' the number in the countryside around 2007, yet describes the urban share as 'less than half' — overtaking means the urban share became the majority (more than half).",Crossing the halfway point:4-5,"The breakdown gives 45% cities, 35% towns, and 40% villages, which sums to 120% rather than 100%.",A finer breakdown:10-11,different,
paper-0003-d2~neg~paper-0003-d3,"The text says two-thirds (66%) live on less than $5 a day while only half (52%) live on less than $10 a day, which is impossible: everyone below $5 is also below $10, so the $10 share cannot be smaller than the $5 share.",Higher poverty lines:12,The extreme-poverty threshold is given inconsistently: 'less than $2 a day' in one sentence but the 'International Poverty Line of $3 per day' in the next.,The long-run decline:7,different,
spec-0015-d1~neg~spec-0015-d3,"nginx-proxy.depends_on names service `flask`, but the application service is named `flask-app`; there is no service `flask`.",services.nginx-proxy.depends_on:12,"The flask-app runs gunicorn bound to 0.0.0.0:5000, but the service publishes port 8000 and its healthcheck probes 8000, so nothing is actually served on the exposed port.",services.flask-app.command:29,different,
code-0001-d1~neg~code-0001-d3,"The limit check in `allow` uses `>` instead of `>=`, so it admits one event beyond `max_events` per window.",src/window.py:16,"`cutoff` is computed with `+` instead of `-`, placing it in the future so every event is evicted and the limiter never throttles.",src/window.py:13,different,
code-0018-d1~neg~code-0018-d2,"The comparison `if x < max_num` keeps the smallest value seen, so the function returns the minimum instead of the maximum; it should be `>`.",src/findmax.py:18,"The running maximum is initialised to `0` instead of the first element, so for all-negative inputs the function wrongly returns 0.",src/findmax.py:16,different,
paper-0017-d1~pos~0-3,"The smoking share is given as 'one in four — roughly 45%', but one in four is 25%, not 45%.",How many smoke:4,45% is closer to one in two than one in four.,How many smoke:4,same,
spec-0016-d2~neg~spec-0016-d3,"kibana.depends_on names service `store`, but no such service is defined (it should be `elasticsearch`).",services.kibana.depends_on:43,"kibana.networks references `elk`, which is not declared under the top-level `networks` key (only `elastic` exists).",services.kibana.networks:45,different,
paper-0010-d1~pos~0-2,"The safe-water share is given as 'almost three-quarters — around 64%', but three-quarters is 75%, not 64%.",The global picture:4,The word (three-quarters) and the figure (64%) disagree.,The global picture:4,same,
spec-0002-d1~neg~spec-0002-d2,"backend.depends_on names `database`, but no service by that name is defined (the database service is named `db`).",services.backend.depends_on:30,"frontend.networks references `frontend-net`, which is not declared under the top-level `networks` key (only `public` and `private` exist).",services.frontend.networks:57,different,
code-0009-d1~neg~code-0009-d2,"The loop `for i in range(1, number)` stops at `number - 1`, so the factor `number` itself is never multiplied in; it should be `range(1, number + 1)`.",src/factorial.py:15,"The accumulator uses `value += i` (addition) instead of `value *= i` (multiplication), so it sums the factors rather than multiplying them.",src/factorial.py:16,different,
paper-0007-d2~neg~paper-0007-d3,"900 deaths per 100,000 is described as 'nearly one in a thousand', but 900 per 100,000 is about 1 in 111 — nearly one in a hundred, not one in a thousand.",Before modern medicine:9-10,"The second clinic is described with 'only one in 5' died versus 'every tenth' in the first, but one in 5 (20%) is higher than one in 10 (10%), so 'only' is contradictory.",Before modern medicine:11-12,different,
paper-0015-d2~neg~paper-0015-d3,"The ~3 million Bengal deaths are called 'about one-third as many' as the ~36 million Great Leap Forward deaths, but 3 out of 36 is about one-twelfth, not one-third.",The scale of the toll:6-7,"Children are said to account for 'between one half and one-quarter' of famine deaths, but one-quarter is less than one half, so the range is stated backwards (the upper bound is below the lower bound).",Who dies:10-11,different,
paper-0013-d2~pos~0-1,"Growth is said to have 'more than doubled, falling to less than 1%' after peaking at over 2%, but a peak followed by a fall to under 1% is a decrease, not a doubling.",Slowing growth:8-9,"Falling from over 2% to under 1% is more than halving, not doubling.",Slowing growth:8-9,same,
paper-0002-d1~neg~paper-0002-d4,"The deficit is said to have decreased by '$41 billion (or 6 percent)', but $41 billion is about 2 percent of the ~$1.8 trillion deficit, not 6 percent.",Overview:5,"Debt held by the public is said to have 'rose to 96.8 percent of GDP ... up from 97.4 percent', but 96.8 is lower than 97.4, so the debt did not rise.",Relative to the economy:20-21,different,
paper-0023-d1~neg~paper-0023-d3,"The rise from 32 years in 1900 to 71 in 2021 is called 'more than tripled', but 71 is about 2.2 times 32 — a bit more than a doubling, not a tripling.",A long climb:4-5,"With Japan close to 85 and Nigeria thirty years lower, Nigeria should be around 55, but the text puts Nigeria at 'around 65 years'.",Still deeply unequal:10-11,different,
code-0016-d1~pos~0-3,"The inner comparison `collection[k] > collection[min_index]` selects the maximum of the remaining elements instead of the minimum, producing a descending sort; it should be `<`.",src/selsort.py:16,"selection_sort([0,5,3,2,2]) would not be ascending with `>`.",src/selsort.py:16,same,
paper-0010-d1~neg~paper-0010-d2,"The safe-water share is given as 'almost three-quarters — around 64%', but three-quarters is 75%, not 64%.",The global picture:4,"The share without safe water is given as 'one in four, roughly 46%', but one in four is 25%, not 46%.",The global picture:5,different,
code-0012-d2~pos~1-2,The ternary is backwards; it should be `-decimal_number if is_negative else decimal_number`.,src/bin2dec.py:25,Positive inputs are negated and negative inputs are left positive.,src/bin2dec.py:25,same,
code-0004-d1~neg~code-0004-d2,"The empty-data guard is `n < 0`, which can never be true for a length; empty input should be caught with `n == 0` (as the error message says), so `median([])` falls through and raises an IndexError instead.",src/stats.py:18,"For odd-length data the function returns `data[n // 2 - 1]`, which is one position left of the true middle element (`data[n // 2]`).",src/stats.py:21,different,
code-0011-d2~pos~0-1,"The recurrence subtracts (`fib[-1] - fib[-2]`) instead of adding, so it does not produce Fibonacci numbers.",src/fib.py:20,`fib[-1] - fib[-2]` should be `fib[-1] + fib[-2]`; Fibonacci adds the two previous terms.,src/fib.py:20,same,
paper-0009-d1~neg~paper-0009-d3,"The rise from 6 to more than 20 billion tonnes is called 'almost doubled', but 20 is more than three times 6, not roughly double.",A steep climb:4-5,"The US total (~400 billion) is said to be 'more than 3 times' China's ~270 billion tonnes, but 400 / 270 is about 1.5.",Who is responsible:9-10,different,
code-0014-d1~pos~0-1,"The digits are extracted with `divmod(decimal, 8)` instead of `divmod(decimal, 16)`, so it converts to base 8 rather than hexadecimal.",src/dec2hex.py:26,"`divmod(decimal, 8)` should use 16; hexadecimal is base 16.",src/dec2hex.py:26,same,
code-0009-d2~neg~code-0009-d3,"The accumulator uses `value += i` (addition) instead of `value *= i` (multiplication), so it sums the factors rather than multiplying them.",src/factorial.py:16,"The negative guard is `number < -1`, so `-1` is accepted even though factorial is undefined for negative values; it should be `number < 0`.",src/factorial.py:12,different,
code-0016-d2~pos~0-1,"The inner scan `range(i + 1, length - 1)` stops one element early, so the last element is never considered when searching for the minimum.",src/selsort.py:15,"`range(i + 1, length - 1)` should be `range(i + 1, length)`; the last index is skipped.",src/selsort.py:15,same,
paper-0022-d1~neg~paper-0022-d3,"Russia's over 800 million hectares is called 'about two-fifths of the global total', but 800 million is one-fifth of the world's roughly 4 billion hectares, not two-fifths.",Where the forests are:9-10,"Russia is stated to hold the largest share at over 800 million hectares, yet Brazil (the only OTHER country above 10%) is also given 'over 800 million hectares', which would tie or exceed the country said to be largest.",Where the forests are:11-12,different,
paper-0020-d1~pos~1-3,"1% to 2% of GDP is about a doubling, not a tenfold rise.",The rise of public spending:5-6,The stated growth multiple is far too high for 1%-to-2%.,The rise of public spending:5-6,same,
paper-0022-d2~pos~1-2,One-third of habitable land cannot be half of the larger total land.,How much forest remains:4-6,"Since habitable land is only part of all land, the forest share of all land must be smaller than its share of habitable land.",How much forest remains:4-6,same,
code-0017-d3~pos~1-3,`number >>= 2` should be `number >>= 1`; only one bit is processed per step.,src/popcount.py:20,Half the bits are dropped because the shift is by two.,src/popcount.py:20,same,
paper-0017-d1~neg~paper-0017-d3,"The smoking share is given as 'one in four — roughly 45%', but one in four is 25%, not 45%.",How many smoke:4,"With more than one-third of men and fewer than one in ten women smoking, men are more than three times as likely to smoke as women, but the text says 'less than twice as likely'.",The gender gap:8-9,different,
code-0016-d3~pos~2-3,Starting the minimum index at 0 lets already-sorted elements be reselected.,src/selsort.py:14,"The candidate minimum should be i, not the first element, on every pass.",src/selsort.py:14,same,
paper-0013-d1~neg~paper-0013-d3,"The rise from about 1 billion (1800) to more than 8 billion (today) is called 'a fourfold increase', but 8 divided by 1 is an eightfold increase.",From one billion to eight:4-5,"Today's 8 billion out of the ~108 billion who have ever lived is given as 'about 27%', but 8 / 108 is roughly 7%.",Slowing growth:9-11,different,
code-0012-d1~neg~code-0012-d3,"The Horner accumulation multiplies by 3 (`3 * decimal_number`) instead of 2, so it interprets the string in base 3 rather than binary.",src/bin2dec.py:24,"When stripping the leading '-', the slice `bin_string[2:]` removes two characters instead of one, dropping the first binary digit of negative inputs.",src/bin2dec.py:19,different,
spec-0002-d2~pos~0-3,"frontend.networks references `frontend-net`, which is not declared under the top-level `networks` key (only `public` and `private` exist).",services.frontend.networks:57,frontend uses a network name that does not appear under `networks:` (only public/private are declared).,services.frontend.networks:57,same,
code-0002-d4~pos~1-2,`q + 1 if i >= r else q` inverts the distribution; it should be `i <= r`.,src/partition.py:32,The leftover elements go to the wrong parts because the comparison to `r` is flipped.,src/partition.py:32,same,
paper-0017-d1~pos~1-2,"One in four is 25%, so 'roughly 45%' does not match.",How many smoke:4,The fraction (one in four) and the percentage (45%) disagree.,How many smoke:4,same,
paper-0008-d2~neg~paper-0008-d3,"154 million deaths prevented over fifty years is called 'an average of roughly 8 million lives saved every year', but 154 / 50 is about 3 million per year.",The lives saved:9-10,"The daily figure 'more than 80,000 every single day' is inconsistent with 154 million over fifty years, which is about 8,000 per day.",The lives saved:10-11,different,
spec-0008-d3~pos~2-3,"No pods carry the label `run: nginx`, so the Service has no endpoints.",Service.spec.selector:32,Service selector points at a label that no pod has.,Service.spec.selector:32,same,
spec-0013-d1~neg~spec-0013-d2,"The nc app sets POSTGRES_HOST=database, but the database service is named `db`; there is no service or host `database`.",services.nc.environment:5,"The nc app's POSTGRES_PASSWORD is `secret`, but the db service's POSTGRES_PASSWORD is `nextcloud`, so authentication will fail.",services.nc.environment:6,different,
spec-0008-d1~neg~spec-0008-d3,"The Deployment's selector matchLabels is `run: web`, but the pod template labels are `run: my-nginx`; a Deployment's selector must match its template labels.",Deployment.spec.selector.matchLabels:8,"The Service selector is `run: nginx`, which matches no pods: the Deployment labels its pods `run: my-nginx`, so the Service selects nothing.",Service.spec.selector:32,different,
paper-0013-d2~neg~paper-0013-d3,"Growth is said to have 'more than doubled, falling to less than 1%' after peaking at over 2%, but a peak followed by a fall to under 1% is a decrease, not a doubling.",Slowing growth:8-9,"Today's 8 billion out of the ~108 billion who have ever lived is given as 'about 27%', but 8 / 108 is roughly 7%.",Slowing growth:9-11,different,
spec-0015-d2~neg~spec-0015-d3,"The proxy targets FLASK_SERVER_ADDR=flask-app:9000, but the flask-app service publishes port 8000, so the proxy points at the wrong port.",services.nginx-proxy.environment:8,"The flask-app runs gunicorn bound to 0.0.0.0:5000, but the service publishes port 8000 and its healthcheck probes 8000, so nothing is actually served on the exposed port.",services.flask-app.command:29,different,
paper-0005-d1~neg~paper-0005-d3,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,"Global 2021 life expectancy (just over 70) is said to be 'more than twice' the value two centuries earlier, given as 'less than 45'; but twice 45 is 90, which exceeds 70, so 70 is not more than twice 45.",Longer lives:6-7,different,
spec-0005-d2~neg~spec-0005-d3,"The prometheus config directory is mounted at `/config`, but the command loads the config from `/etc/prometheus/prometheus.yml`, so the config file will not be found at the path the command expects.",services.prometheus.volumes:11,"prometheus mounts the named volume `metrics_data`, which is not declared under the top-level `volumes` key (only `prom_data` exists there).",services.prometheus.volumes:12,different,
spec-0012-d1~neg~spec-0012-d2,"The Pod volume's persistentVolumeClaim.claimName is `pv-claim`, but the PVC defined in this manifest is named `task-pv-claim`.",Pod.spec.volumes.persistentVolumeClaim:23,"The container's volumeMount references volume `pv-storage`, but the Pod defines the volume as `task-pv-storage`.",Pod.spec.containers.volumeMounts:32,different,
code-0002-d1~pos~0-1,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16,"`if n < 0` fails to reject `n == 0`, which the ValueError text ('n must be at least 1') says is invalid.",src/partition.py:16,same,
paper-0001-d1~neg~paper-0001-d2,"The Results section labels 180 of 200 as 75%, but 180/200 is 90%.",Results:16-17,"The text says our results 'corroborate' Chen et al. (2024), but Chen reported retrieval *reduced* accuracy while RAG-Sum shows retrieval *improves* it - so the results contradict, not corroborate, that finding.",Results:17-19,different,
code-0016-d1~neg~code-0016-d2,"The inner comparison `collection[k] > collection[min_index]` selects the maximum of the remaining elements instead of the minimum, producing a descending sort; it should be `<`.",src/selsort.py:16,"The inner scan `range(i + 1, length - 1)` stops one element early, so the last element is never considered when searching for the minimum.",src/selsort.py:15,different,
paper-0015-d1~neg~paper-0015-d2,"The ~36 million Great Leap Forward deaths are called 'more than two-thirds' of the century's ~100 million total, but 36 out of 100 is about a third, not more than two-thirds.",The scale of the toll:4-6,"The ~3 million Bengal deaths are called 'about one-third as many' as the ~36 million Great Leap Forward deaths, but 3 out of 36 is about one-twelfth, not one-third.",The scale of the toll:6-7,different,
spec-0013-d1~neg~spec-0013-d3,"The nc app sets POSTGRES_HOST=database, but the database service is named `db`; there is no service or host `database`.",services.nc.environment:5,"The nc app's POSTGRES_DB is `cloud`, but the db service creates database `nextcloud`, so the app targets a database that does not exist.",services.nc.environment:7,different,
code-0008-d1~neg~code-0008-d3,"`abs(n)` is computed but its result is discarded (not assigned back to `n`), so negative inputs are never made positive and the loop returns 0 for them.",src/digits.py:16,"The loop condition is `while n > 1`, which stops before processing the final (most significant) digit; it should be `while n > 0`.",src/digits.py:18,different,
paper-0015-d3~pos~0-2,"Children are said to account for 'between one half and one-quarter' of famine deaths, but one-quarter is less than one half, so the range is stated backwards (the upper bound is below the lower bound).",Who dies:10-11,The upper bound (one-quarter) is below the lower bound (one half).,Who dies:10-11,same,
code-0014-d1~pos~2-3,"Dividing by 8 produces octal-style digits, not hex.",src/dec2hex.py:26,"The radix is wrong (8 instead of 16), so decimal_to_hexadecimal(255) is not '0xff'.",src/dec2hex.py:26,same,
code-0002-d2~neg~code-0002-d4,"The arguments to `divmod` are swapped: `divmod(n, len(seq))` should be `divmod(len(seq), n)`, so q and r are computed from the wrong operands.",src/partition.py:26,"The remainder is distributed with `i >= r` instead of `i <= r`, so the extra elements are added to the later parts rather than the earlier ones.",src/partition.py:32,different,
spec-0004-d1~neg~spec-0004-d2,"proxy.networks references `frontend`, which is not declared under the top-level `networks` key (only `backnet` and `frontnet` exist).",services.proxy.networks:49,"backend.secrets references `app-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:32,different,
spec-0001-d1~neg~spec-0001-d2,"replicas.min (5) is greater than replicas.max (3), violating the stated constraint min <= max.",replicas:11-12,"autoscale.target_cpu_percent is 130, outside the allowed range [1, 100].",autoscale.target_cpu_percent:16,different,
paper-0001-d1~neg~paper-0001-d4,"The Results section labels 180 of 200 as 75%, but 180/200 is 90%.",Results:16-17,"Hyperparameters were tuned on the test set, a train/test leak that invalidates the reported test results.",Dataset and Training:12-13,different,
paper-0007-d1~neg~paper-0007-d3,"450 per 100,000 versus 11 per 100,000 is called 'roughly 400 times higher', but 450 / 11 is about 41 — roughly 40 times, not 400.",A vast gap:6,"The second clinic is described with 'only one in 5' died versus 'every tenth' in the first, but one in 5 (20%) is higher than one in 10 (10%), so 'only' is contradictory.",Before modern medicine:11-12,different,
paper-0023-d2~pos~0-3,"The global figure two hundred years ago is said to be 'less than half of today's' (today's is just over 70), yet it is then given as 'around 45 years', which is well over half of 70.",A long climb:5-6,The stated past figure contradicts the 'less than half' description.,A long climb:5-6,same,
code-0013-d1~neg~code-0013-d2,"The odd-bit test uses `exponent & 2` instead of `exponent & 1`, so it inspects the wrong bit and multiplies in the base at the wrong steps.",src/binexp.py:18,"The base is doubled (`base += base`) instead of squared (`base *= base`), so the repeated-squaring step is wrong.",src/binexp.py:20,different,
code-0004-d2~neg~code-0004-d3,"For odd-length data the function returns `data[n // 2 - 1]`, which is one position left of the true middle element (`data[n // 2]`).",src/stats.py:21,"For even-length data the two middle values are divided by 1 instead of 2, so the result is their sum rather than their average.",src/stats.py:24,different,
code-0005-d1~neg~code-0005-d2,"In the non-subtractive branch the running total is decremented (`total -= ...`) instead of incremented, so ordinary numerals accumulate negatively.",src/roman.py:24,"The subtractive-pair test is inverted: it triggers when the current symbol is greater than the next (`>`), but subtraction applies when the current symbol is smaller (`<`), as in IV or IX.",src/roman.py:20,different,
paper-0005-d1~pos~0-2,"French 15-year-olds' life expectancy is said to rise from 58 to 83, 'an increase of 35 years', but 83 - 58 = 25 years.",Not only about infants:11-12,The rise from 58 to 83 years is miscalculated as 35.,Not only about infants:11-12,same,
spec-0011-d2~pos~2-3,Undefined network: `springnet` should be `spring-postgres`.,services.backend.networks:9,Dangling network reference in the backend service.,services.backend.networks:9,same,
spec-0001-d3~pos~1-2,Route /refund points at an undefined service `refunds-core`.,routes[1].backend:26,`refunds-core` is referenced as a backend but never declared in the services list.,routes[1].backend:26,same,
