row_id,text_a,location_a,text_b,location_b,human_same (Y/N),notes
rc8b6f9406d,"Missing division by 2 for even-length data: line 24 divides by 1 instead of 2, returning sum instead of average.",src/stats.py:24-24,"For even-length data the two middle values are divided by 1 instead of 2, so the result is their sum rather than their average.",src/stats.py:24-24,,
r9815d1966f,Missing validation that exponent is an integer; non-integer types cause TypeError without a clear error message.,src/binexp.py,"The exponent is shifted right by 2 (`exponent >>= 2`) instead of 1, so it consumes two bits per iteration and skips half of them.",src/binexp.py:21-21,,
r155f056ea9,"Decrementing i when i=0 produces i=-1, and the recovery check only fixes i==0, not negative, leading to invalid accesses.",src/gnome.py:20-22,"The scan index starts at `0` instead of `1`, so the first comparison reads `lst[i - 1]` as `lst[-1]`, comparing the last element with the first.",src/gnome.py:14-14,,
red3945bc52,"Factually wrong explanation for deficit change: the claim that 'the increase in outlays was smaller than the increase in revenues' is false; outlays grew by $375 billion while revenues grew by $317 billion, so outlays increased more.",Receipts and outlays:11-12,"Outlays are said to have grown by '$375 billion', which exceeds the '$317 billion' revenue increase, directly contradicting the following sentence ('the increase in outlays was smaller than the increase in revenues') and the stated deficit decrease.",Receipts and outlays:11-11,,
r43f76a12be,"`range(1, number)` omits `number` itself; should be `range(1, number+1)` to include all factors.",src/factorial.py:15-15,"`range(1, number)` omits `number` itself; should be `range(1, number+1)` to include all factors.",src/factorial.py:15-15,,
ra88f1a6132,"The loop range(n) with initial list [0,1] produces list of length n+2, but expected n+1 numbers, so the loop runs one extra iteration.",src/fib.py:19-20,"The loop `for _ in range(n)` runs one iteration too many (the list already starts with two elements), producing more Fibonacci numbers than requested.",src/fib.py:19-19,,
r576a7217bf,The fraction 'about two-fifths' attributed to Russia's forest area does not match the stated area or the global total.,## Where the forests are:8-9,The fraction 'about two-fifths' attributed to Russia's forest area does not match the stated area or the global total.,## Where the forests are:8-9,,
rbc965cc449,`utilization` returns stale/overestimated values because it does not prune expired events before computing the fraction.,src/window.py:21-23,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23-23,,
r9d480f80c1,Database password mismatch: WordPress uses 'secret' but MariaDB user password is 'wordpress'.,wordpress service:18,Database password mismatch: WordPress uses 'secret' but MariaDB user password is 'wordpress'.,wordpress service:18,,
r771d757dae,"SECRET_USERNAME variable uses key 'user', but even if the Secret name were corrected to 'test-secret', that Secret has a key 'username', not 'user'.",Pod:22-22,"The environment variable SECRET_USERNAME references the key 'user', but the Secret test-secret defines a key 'username'.",secret-envars-test-pod:20-21,,
r2dd9a03bcd,"The percentage decrease in the deficit is miscalculated: $41 billion from $1,841 billion is about 2.23%, not 6%.",Overview:3-4,"The percentage decrease in the deficit is miscalculated: $41 billion from $1,841 billion is about 2.23%, not 6%.",Overview:3-4,,
rd51c99b66e,Misleading phrasing of percentages in the second paragraph.,Higher poverty lines,Misleading phrasing of percentages in the second paragraph.,Higher poverty lines,,
ra324729812,The fraction 'three-quarters' is inconsistent with the stated percentage 64%.,## The global picture:5-6,The fraction 'three-quarters' is inconsistent with the stated percentage 64%.,## The global picture:5-6,,
rc3e1c7ba28,"The loop for i in range(1, n): iterates only n-1 times, so the returned list contains exactly n-1 parts, missing the last part.",src/partition.py:30-30,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30-30,,
r6fbce6d9fe,"Comparison condition on line 16 uses >= instead of <=, inverting the correct order for ascending sort.",src/gnome.py:16,"Comparison condition on line 16 uses >= instead of <=, inverting the correct order for ascending sort.",src/gnome.py:16,,
rec73478c8b,"The documented examples show ascending sorted outputs, but the actual code does not produce those outputs.",src/selsort.py:7-10,"The inner comparison `collection[k] > collection[min_index]` selects the maximum of the remaining elements instead of the minimum, producing a descending sort; it should be `<`.",src/selsort.py:16-16,,
rf9c40fce6c,"Backend sets POSTGRES_DB=appdb, database container sets POSTGRES_DB=example; application likely expects appdb but database creates example, causing connection failure.","services.backend.environment, services.db.environment:7-20","The backend expects POSTGRES_DB=appdb, but the db service creates the database `example` (POSTGRES_DB=example), so the app targets a database that does not exist.",services.backend.environment:7-7,,
r9242a06526,Service name and StatefulSet name inconsistency (minor).,Service metadata.name and StatefulSet metadata.name,"The StatefulSet's serviceName is `web-svc`, but the headless Service that governs it is named `nginx`; there is no Service `web-svc`.",StatefulSet.spec.serviceName:20-20,,
r4e8fed7170,The text contradicts itself by saying less than half of the world's population lived in urban areas while also stating that the urban population overtook the rural population.,Crossing the halfway point,The text contradicts itself by stating both that less than half of the world's population lived in urban areas around 2007 and that the number of people in cities overtook the number in the countryside.,Crossing the halfway point,,
re816b51210,"The nginx image does not include envsubst, so the command using envsubst will fail.",web:8-8,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7-7,,
rf246ddddd3,The second paragraph contains an inconsistency between the reported literacy rate and the implied illiteracy rate: it says 'More than 95% … have basic literacy skills' and then 'meaning fewer than 15% cannot read a simple sentence'.,Second paragraph,The second paragraph contains an inconsistency between the reported literacy rate and the implied illiteracy rate: it says 'More than 95% … have basic literacy skills' and then 'meaning fewer than 15% cannot read a simple sentence'.,Second paragraph,,
r5ad077e129,"The inner loop range(i-1) stops at i-2, missing the last pair comparison in each pass.",src/bubble.py:13-15,"The inner loop range(i-1) stops at i-2, missing the last pair comparison in each pass.",src/bubble.py:13-15,,
r79e1b05b32,"The backend service is attached to the `react-express` network (and the undeclared `mongo-net`), while the mongo service is attached only to the `express-mongo` network. Because these are two separate networks with no shared bridge, the backend has no network path to reach mongo on port 27017, which is required for the application to function.",services.backend.networks and services.mongo.networks,"backend.networks references `mongo-net`, which is not declared under the top-level `networks` key (only `react-express` and `express-mongo` exist).",services.backend.networks:28-28,,
rdf4a4e68a3,Docstring examples are inconsistent with the implementation.,src/dec2hex.py:12-17,Docstring examples are inconsistent with the implementation.,src/dec2hex.py:12-17,,
r2a8d5c5a66,"Line 21 uses exponent >>= 2 (shift by two bits) instead of exponent >>= 1 (shift by one bit), causing bits to be skipped and the exponent to be exhausted prematurely.",src/binexp.py:21-21,"The exponent is shifted right by 2 (`exponent >>= 2`) instead of 1, so it consumes two bits per iteration and skips half of them.",src/binexp.py:21-21,,
r3bf568587a,StorageClass 'manual' may not exist; no StorageClass or PersistentVolume with that class is defined in the artifact.,PersistentVolumeClaim:8-8,"The Pod is in namespace `production`, but the PVC it claims is in namespace `default`; PVCs are namespace-scoped, so a Pod can only bind a PVC in its own namespace.",Pod.metadata.namespace:18-18,,
rdf104becf3,"Gitea uses DB_USER=admin while PostgreSQL defines POSTGRES_USER=gitea, causing authentication failure.",services.gitea.environment,"The Gitea service uses DB_USER=admin, while the PostgreSQL service creates a user gitea, causing Gitea authentication to fail.",,,
r62d7aab5e3,"No guard exists for an empty input sequence; if iterable is empty, len(seq) equals 0, triggering a ZeroDivisionError on line 26.",src/partition.py:26-26,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16-16,,
re65d4c8621,Docstring examples contradict the implementation.,src/collatz.py:7-10,Docstring examples contradict the implementation.,src/collatz.py:7-10,,
re786065d39,"Division by zero when `max_events` is zero in `utilization`, and also `allow` incorrectly allows requests when limit is zero.",src/window.py:16-23,"`utilization` divides by `self.max_events` with no guard, raising ZeroDivisionError when `max_events == 0`.",src/window.py:23-23,,
r0f250da55d,The frontend service depends on a service named 'api' which does not exist in the artifact.,frontend:10-11,The frontend service depends on a service named 'api' which does not exist in the artifact.,frontend:10-11,,
r7580e4c4eb,The docstring examples (lines 7–10) do not reflect the actual code's behavior; they show correct ascending sorts but the buggy code will not produce those outputs.,src/selsort.py:7-10,The docstring examples (lines 7–10) do not reflect the actual code's behavior; they show correct ascending sorts but the buggy code will not produce those outputs.,src/selsort.py:7-10,,
rf4617292bf,"The Pod’s volume definition references `claimName: pv-claim`, but the only PVC defined in the artifact is named `task-pv-claim`. This will cause the Pod to fail scheduling because the referenced PVC does not exist.",Pod:24,"The Pod volume's persistentVolumeClaim.claimName is `pv-claim`, but the PVC defined in this manifest is named `task-pv-claim`.",Pod.spec.volumes.persistentVolumeClaim:23-23,,
rdc79dd9a97,Frontend depends on a nonexistent service 'api' which is not defined.,services.frontend.depends_on,Frontend depends on undefined service `api`,frontend.depends_on:9,,
r908abf6850,"The command overrides the default CMD of the mariadb image, causing a startup failure.",services.db:7-7,"backend publishes host port 80 (`80:8000`), colliding with proxy's host port 80 (`80:80`); two services cannot bind the same host port.",services.backend.ports:34-34,,
r1c27468089,Database name mismatch: Gitea uses DB_NAME=giteadb but PostgreSQL container uses POSTGRES_DB=gitea.,gitea:4-15,"DB_NAME is `giteadb`, but the database created by the db service is `gitea` (POSTGRES_DB=gitea), so Gitea targets a database that does not exist.",services.gitea.environment:7-7,,
rcb3de6b6e2,"Autoscale target CPU percent is 130, which is outside the allowed range [1, 100].",autoscale.target_cpu_percent:14,"autoscale.target_cpu_percent is 130, outside the allowed range [1, 100].",autoscale.target_cpu_percent:16-16,,
ra5935f1145,The volume mount of ./nginx/default.conf to /tmp/default.conf does not affect Nginx configuration because config files are read from /etc/nginx/ directories.,nginx-proxy.volumes:5,The volume mount of ./nginx/default.conf to /tmp/default.conf does not affect Nginx configuration because config files are read from /etc/nginx/ directories.,nginx-proxy.volumes:5,,
r4aa5f02a7d,"The phrase 'between one half and one-quarter' in the second paragraph describes the range of child mortality in a descending order, which is unconventional and could mislead readers into thinking the lower bound is larger than the upper bound.",Who dies,"Children are said to account for 'between one half and one-quarter' of famine deaths, but one-quarter is less than one half, so the range is stated backwards (the upper bound is below the lower bound).",Who dies:10-11,,
r65f7f05089,"The utilization method on line 23 divides len(self._events) by self.max_events with no guard against self.max_events being zero, which would raise a ZeroDivisionError.",src/window.py:23-23,"The utilization method on line 23 divides len(self._events) by self.max_events with no guard against self.max_events being zero, which would raise a ZeroDivisionError.",src/window.py:23-23,,
re396d506a1,"The text gives two conflicting life expectancy values for 2021: 61 years and just over 70 years, without explanation.",Longer lives:4-6,"The text gives two conflicting life expectancy values for 2021: 61 years and just over 70 years, without explanation.",Longer lives:4-6,,
rbd289dc6a7,For an odd number of elements the function returns `data[n // 2 - 1]` instead of the correct middle element `data[n // 2]`.,src/stats.py:21-21,"For odd-length data the function returns `data[n // 2 - 1]`, which is one position left of the true middle element (`data[n // 2]`).",src/stats.py:21-21,,
rf33271693c,"The nginx configuration file is mounted at /tmp/default.conf, but nginx normally loads configuration from /etc/nginx/.",services.nginx-proxy.volumes,"nginx-proxy.depends_on names service `flask`, but the application service is named `flask-app`; there is no service `flask`.",services.nginx-proxy.depends_on:12-12,,
r9d0ec09d0b,"In the 'Crossing the halfway point' section, the statement that 'less than half of the world's population lived in urban areas' around 2007 contradicts the claim that 'the number of people in cities overtook the number in the countryside' because if less than half lived in urban areas, rural population would be greater than half, so urban could not have overtaken rural.",Crossing the halfway point,"The claim that in 2007 'less than half of the world's population lived in urban areas' contradicts the statement that urban population 'overtook' the rural population, because if urban overtook rural then urban must be more than half.",Crossing the halfway point,,
r82abd26d26,"Reported growth rates are inconsistent with the stated deficit: if revenues rose 6% ($317B) and outlays 4% ($375B), the implied deficit would be about $4.15 trillion, far larger than the reported $1.8 trillion.",Receipts and outlays:7-9,"Outlays are said to have grown by '$375 billion', which exceeds the '$317 billion' revenue increase, directly contradicting the following sentence ('the increase in outlays was smaller than the increase in revenues') and the stated deficit decrease.",Receipts and outlays:11-11,,
r05212338f4,"Condition checks for the wrong bit value: on line 18, the code increments result when the least significant bit is 0, but counting set bits requires incrementing when the bit is 1.",src/popcount.py:18-18,"Condition checks for the wrong bit value: on line 18, the code increments result when the least significant bit is 0, but counting set bits requires incrementing when the bit is 1.",src/popcount.py:18-18,,
r8f56d1e86f,Docstring example is inconsistent with implementation because the algorithm can never return len(a).,src/search.py:13-14,Docstring example is inconsistent with implementation because the algorithm can never return len(a).,src/search.py:13-14,,
r96e2e10e32,PVC name mismatch: Pod's persistentVolumeClaim references 'pv-claim' but the only defined PVC is named 'task-pv-claim'.,Pod spec -> volumes[0].persistentVolumeClaim.claimName,"The Pod volume's persistentVolumeClaim.claimName is `pv-claim`, but the PVC defined in this manifest is named `task-pv-claim`.",Pod.spec.volumes.persistentVolumeClaim:23-23,,
rf89cb67653,"The loop range excludes the last element, so it is never processed.",src/insort.py:12-12,"The outer loop `range(1, len(collection) - 1)` stops before the last element, so the final element is never inserted and the list is left partially unsorted.",src/insort.py:12-12,,
r3421c68f9a,n = 0 is not rejected; the function allows n=0 which is logically invalid and results in an empty return list.,src/partition.py:16-16,"The input guard is `n < 0`, so `n == 0` is accepted despite the raised message ('n must be at least 1') and docstring requiring n >= 1; the correct guard is `n < 1`.",src/partition.py:16-16,,
r8236b1f9ab,nginx configuration volume target is unlikely to be used (mounted to /tmp/default.conf instead of standard nginx config directory),nginx-proxy:6-6,"nginx-proxy.depends_on names service `flask`, but the application service is named `flask-app`; there is no service `flask`.",services.nginx-proxy.depends_on:12-12,,
rfe8c1295ee,Database name mismatch: MYSQL_DATABASE is 'wordpress' but WORDPRESS_DB_NAME is 'wp'.,MYSQL_DATABASE / WORDPRESS_DB_NAME:11-20,"WORDPRESS_DB_NAME is `wp`, but the database created by the db service is `wordpress` (MYSQL_DATABASE=wordpress), so WordPress targets a database that does not exist.",services.wordpress.environment:28-28,,
r389ecb4b5b,"Services placed on separate networks, preventing communication.","services.backend.networks, services.db.networks:7-15","The backend joins network `springnet`, which is not declared under the top-level `networks` key (only `spring-postgres` exists).",services.backend.networks:9-9,,
rc63cf5b395,"The `backend` service's `secrets` list references a secret that is not defined (`db-secret`), while the only defined secret is `db-password`.",services.backend.secrets,"backend.secrets references `db-secret`, which is not defined under the top-level `secrets` key (only `db-password` exists there).",services.backend.secrets:7-7,,
rb0368afbeb,"The condition n < 0 allows n = 0 to pass, causing an infinite loop; should be n <= 0.",src/collatz.py:12-12,"The input guard uses `n < 0`, so `n == 0` is accepted even though the sequence is only defined for positive integers (0 then loops forever).",src/collatz.py:12-12,,
r2226431a3c,Internal contradiction between the first and second sentences of 'A growing share'.,A growing share,"The global overweight/obese share is given as 'two-fifths — about 20%', but two-fifths is 40%, not 20%.",A global problem:9-9,,
r9103e7d0bd,"The backend service depends on db, but db is not defined in the services block.",backend:22-23,"backend.depends_on names service `db`, but the database service is named `mongo`; there is no service `db`.",services.backend.depends_on:23-23,,
r77af0d6462,The stated percentage decrease in the deficit is inconsistent with the absolute decrease.,Overview:3-5,"The deficit is said to have decreased by '$41 billion (or 6 percent)', but $41 billion is about 2 percent of the ~$1.8 trillion deficit, not 6 percent.",Overview:5-5,,
rcf2579f889,Build `args` format is invalid,services.backend.build.args:4,"backend.depends_on names `database`, but no service by that name is defined (the database service is named `db`).",services.backend.depends_on:30-30,,
rbf44bc4daf,Function does not satisfy its documented contract due to the combination of Issues 1–3.,src/search.py:4-26,"The else branch sets `lo = mid` instead of `lo = mid + 1`, so when `x` belongs to the right half the loop cannot make progress and never terminates.",src/search.py:25-25,,
r2aa1ad5410,"The bind mount ./logstash/nginx.log:/home/nginx.log mounts a single host file. If that file does not exist, Docker will create a directory at /home/nginx.log inside the container, which may break Logstash.",logstash,"logstash.depends_on names service `search`, but no such service is defined (the search engine service is named `elasticsearch`).",services.logstash.depends_on:33-33,,
r769cf59b82,"Incorrect increment condition and value: the if number % 2 == 0 branch adds 2 when the least‑significant bit is 0, but should add 1 for each set bit, counting zero bits instead of one bits.",src/popcount.py:18-19,"Incorrect increment condition and value: the if number % 2 == 0 branch adds 2 when the least‑significant bit is 0, but should add 1 for each set bit, counting zero bits instead of one bits.",src/popcount.py:18-19,,
r2ae08c2889,"The loop condition `while n > 1:` on line 18 is wrong; it should be `while n > 0:` because the current condition stops prematurely when n becomes 1, skipping the most significant digit for many inputs and returning 0 for n=1.",src/digits.py:18-18,"The loop condition is `while n > 1`, which stops before processing the final (most significant) digit; it should be `while n > 0`.",src/digits.py:18-18,,
r422ba4abfb,Unclear target stage usage in backend build,backend.build and backend.volumes:11-15,Unclear target stage usage in backend build,backend.build and backend.volumes:11-15,,
rad668ccea6,"Loop creates only n‑1 parts, missing the last part because the final slice is not appended.",src/partition.py:30-33,"The loop `for i in range(1, n)` iterates one time too few, producing n-1 parts instead of n (the docstring shows `divide(2, ...)` must yield two parts).",src/partition.py:30-30,,
rda95c9fee5,Database name mismatch: Nextcloud uses POSTGRES_DB=cloud but the database server only creates a database named 'nextcloud'.,services.nc.environment.POSTGRES_DB and services.db.environment.POSTGRES_DB:7-16,"The nc app's POSTGRES_DB is `cloud`, but the db service creates database `nextcloud`, so the app targets a database that does not exist.",services.nc.environment:7-7,,
r2ad1eaf522,"The rise from below 1% to above 2% GDP between 1880 and 1970 is described as a 'more than tenfold rise', but the actual maximum ratio is about 2, not 10.",## The rise of public spending,"The rise from below 1% to above 2% GDP between 1880 and 1970 is described as a 'more than tenfold rise', but the actual maximum ratio is about 2, not 10.",## The rise of public spending,,
ra07035a26a,Docstring description contradicts examples.,src/fib.py:5-13,"The loop `for _ in range(n)` runs one iteration too many (the list already starts with two elements), producing more Fibonacci numbers than requested.",src/fib.py:19-19,,
r236e263cdb,"Loop range excludes the input number, missing the factor number in the product.",src/factorial.py:15-15,"Loop range excludes the input number, missing the factor number in the product.",src/factorial.py:15-15,,
ra70840c006,Missing handling for the input value zero.,src/dec2hex.py:25-28,Missing handling for the input value zero.,src/dec2hex.py:25-28,,
rf2d1c721d4,Incorrect annual average in 'The lives saved': 154 million deaths over fifty years does not equal 8 million per year.,The lives saved:8-9,"154 million deaths prevented over fifty years is called 'an average of roughly 8 million lives saved every year', but 154 / 50 is about 3 million per year.",The lives saved:9-10,,
rb1b200af36,Digit order is reversed: appending remainder to the right makes least-significant digit leftmost.,src/dec2hex.py:27-27,Digit order is reversed: appending remainder to the right makes least-significant digit leftmost.,src/dec2hex.py:27-27,,
reed935ae3b,"The fractions do not sum to 1: renewables are claimed as 1/7 and the remaining as 2/7, but 1/7 + 2/7 = 3/7, leaving 4/7 unaccounted for.","Renewables in the global energy system, A small but growing share","The share without renewables is given as 'the remaining two-sevenths', but if one-seventh is renewable the remainder must be six-sevenths, not two-sevenths.",A small but growing share:4-5,,
radeb31b2e9,"Healthchecks assume curl is available, but minimal Docker images may not have it",healthcheck tests:14-25,"The proxy targets FLASK_SERVER_ADDR=flask-app:9000, but the flask-app service publishes port 8000, so the proxy points at the wrong port.",services.nginx-proxy.environment:8-8,,
rf1fa03cc62,"The backend service specifies build target builder, likely intended for development; for deployment, the target should be the final runtime stage.",backend,"The backend service specifies build target builder, likely intended for development; for deployment, the target should be the final runtime stage.",backend,,
r963af06bfc,"The backend service sets DATABASE_PASSWORD to the literal path /run/secrets/db-password instead of the secret’s content, while the db service correctly uses MYSQL_ROOT_PASSWORD_FILE to read from the file.",backend:12-12,"The backend service sets DATABASE_PASSWORD to the literal path /run/secrets/db-password instead of the secret’s content, while the db service correctly uses MYSQL_ROOT_PASSWORD_FILE to read from the file.",backend:12-12,,
r86fe883d65,"The web service targets backend:8080 but the backend service sets FLASK_SERVER_PORT=9091, causing a port mismatch.",,"The web proxy targets FLASK_SERVER_ADDR=backend:8080, but the backend serves on FLASK_SERVER_PORT=9091, so the proxy points at the wrong port.",services.web.environment:7-7,,
r75dc641050,The claim that production is now 'more than a 20-fold increase' from 2 million tonnes is incorrect because 450 million tonnes is a 225-fold increase.,A surge in production,"The rise from 2 million to over 450 million tonnes is called 'more than a 20-fold increase', but 450 divided by 2 is about 225 — more than a 200-fold increase.",A surge in production:4-5,,
ref9a7c6f59,`frontend` service `depends_on` references non-existent service `api`.,services.frontend.depends_on,Backend depends on undefined service `db`,backend.depends_on:20,,
r3d03706819,"The even‑branch operation on line 17 divides by 3 (n //= 3) instead of the correct Collatz operation, which is division by 2.",src/collatz.py:17,"The even‑branch operation on line 17 divides by 3 (n //= 3) instead of the correct Collatz operation, which is division by 2.",src/collatz.py:17,,
r8c217ff90f,Prometheus config file path mismatch.,services.prometheus:5-11,"The prometheus config directory is mounted at `/config`, but the command loads the config from `/etc/prometheus/prometheus.yml`, so the config file will not be found at the path the command expects.",services.prometheus.volumes:11-11,,
r50d636ac23,Mismatched database credentials between Nextcloud and PostgreSQL services.,services,Mismatched database credentials between Nextcloud and PostgreSQL services.,services,,
r7c9930b7ed,"Comparison operator in limit check is wrong: uses `>` instead of `>=`, allowing one extra event beyond the limit before rejecting.",src/window.py:16-16,"Comparison operator in limit check is wrong: uses `>` instead of `>=`, allowing one extra event beyond the limit before rejecting.",src/window.py:16-16,,
rdf9c099af1,"The artifact gives two different values for life expectancy in 2021: 61 years (from the first sentence, apparently not global) and “just over 70 years” (stated as global). No clarification is provided for which region or population the first value applies to, and the numbers are inconsistent.",Paragraph 1,"Global 2021 life expectancy (just over 70) is said to be 'more than twice' the value two centuries earlier, given as 'less than 45'; but twice 45 is 90, which exceeds 70, so 70 is not more than twice 45.",Longer lives:6-7,,
r33262a4d58,"Violation of documented examples: the implementation does not produce the outputs promised in the docstring; count_set_bits(25) should be 3 but returns 2, count_set_bits(256) should be 1 but returns 8.",src/popcount.py:7-12,"Violation of documented examples: the implementation does not produce the outputs promised in the docstring; count_set_bits(25) should be 3 but returns 2, count_set_bits(256) should be 1 but returns 8.",src/popcount.py:7-12,,
re5ddc538df,"Line 18 uses `exponent & 2` instead of `exponent & 1`, checking the second least significant bit and ignoring the least significant bit, causing incorrect results.",src/binexp.py:18-18,"Line 18 uses `exponent & 2` instead of `exponent & 1`, checking the second least significant bit and ignoring the least significant bit, causing incorrect results.",src/binexp.py:18-18,,
r5d0cffe858,"The statement res += n // 10 adds the floor‑division result, which is the number formed by all digits except the last, instead of adding the last digit itself.",src/digits.py:19-19,"The digit is extracted with integer division (`n // 10`) instead of the remainder (`n % 10`), so it adds the truncated quotient rather than the last digit.",src/digits.py:19-19,,
r1d39d22f4d,"Backend service provides no database credentials (user or password) for connecting to the PostgreSQL instance, even though the db service requires a password via a secret.",services.backend.environment:4-5,"Backend service provides no database credentials (user or password) for connecting to the PostgreSQL instance, even though the db service requires a password via a secret.",services.backend.environment:4-5,,
r4bd7750380,"After 45% cities and 35% towns, the remainder should be 20%, not 40%. The phrase 'the remaining 40% live in villages' is miscalculated.",A finer breakdown,"The breakdown gives 45% cities, 35% towns, and 40% villages, which sums to 120% rather than 100%.",A finer breakdown:10-11,,
rf43c4cc5c3,Docstring examples contradict actual code; example factorial(6) returns 720 but code returns 16.,src/factorial.py:7-10,"The negative guard is `number < -1`, so `-1` is accepted even though factorial is undefined for negative values; it should be `number < 0`.",src/factorial.py:12-12,,
r302a7a1362,Condition for extra‑size parts is inverted (line 32): the condition i >= r should be i <= r (or i < r after fixing to 0‑based indexing) to give the first r parts one extra element.,src/partition.py:32-32,Condition for extra‑size parts is inverted (line 32): the condition i >= r should be i <= r (or i < r after fixing to 0‑based indexing) to give the first r parts one extra element.,src/partition.py:32-32,,
